FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
WAGP B;Wiss. Arbeiten und Grundl. der Projektarbeit  ;1663;Wissenschaftliches Arbeiten und Grundlagen der Projektarbeit;Bartnik, Roman;c1c5bb94-2d50-428d-9e90-b17b17471b1a;;
WAGP B;Wiss. Arbeiten und Grundl. der Projektarbeit  ;1663;Wissenschaftliches Arbeiten und Grundlagen der Projektarbeit;Palmer, Carolin;c1c5bb94-2d50-428d-9e90-b17b17471b1a;;
WKV M;Werkzeuge in der Kunststoffverarbeitung;1667;Werkzeuge in der Kunststoffverarbeitung;Lake, Simone;6716c404-632a-4918-85a1-0ba0051bacb5;;
WKV M;Werkzeuge in der Kunststoffverarbeitung;1667;Werkzeuge in der Kunststoffverarbeitung;Stricker, Michael;6716c404-632a-4918-85a1-0ba0051bacb5;;
BRW MWM MWE;Betriebliches Rechnungswesen  (Ing);1671;Betriebliches Rechnungswesen;Eckstein, Stefan;35131118-4bd6-413e-880f-1bd0a84ec332;;
BRW MWM MWE;Betriebliches Rechnungswesen  (Ing);1671;Betriebliches Rechnungswesen;Werner, Christina;35131118-4bd6-413e-880f-1bd0a84ec332;;
WPF HUF M;Herausforderungen der Unternehmensführung;1673;Spezialgebiete Wirtschaftswissenschaften;Klein, Torsten;;;
WPF UMF M;Praxisprojekt zu Unternehmens-Mitarbeiterführung;1673;Spezialgebiete Wirtschaftswissenschaften;Klein, Torsten;;;
BIL M;Unternehmenslogistik;1699;Unternehmenslogistik;Hadzeric, Amina;71105c23-d165-472c-8bcd-cab66c9a08f7;;
WPF SQS;Software-Qualitaetssicherung;1829;WPF Software-Qualitaetssicherung (Nur im WS);Winter, Mario;;;IM
WPF VS;Verteilte Systeme;1918;WPF Verteilte Systeme;Köhler, Lutz;;;IM
SWTAT;Softwaretechnik  ET-AT;1970;Softwaretechnik;Algorri, Elena;90d13069-6adf-43c6-ac3e-1d6471651ef1;;
EITM ITM P;Einführung in das IT-Management;2225;Einführung in das IT-Management;Böhmer, Matthias;9e30e299-9a85-4ef7-afe5-473b199b9cd5;;
EITM ITM V;Einführung in das IT-Management;2225;Einführung in das IT-Management;Böhmer, Matthias;9e30e299-9a85-4ef7-afe5-473b199b9cd5;;
ITFC ITM V;IT fokussiertes Controlling;2254;IT fokussiertes Controlling;Linden, Markus;bd437e28-6856-4142-b9c8-8286a5c0b0d4;;
IDM ITM V;Identity Management;2264;Identity Management;Majewski, Roman;7bf34ba0-628a-4a2b-9b2a-3900f982b9e9;;
GDW ITM MI V;Grundlagen des Web (Web Architekturen);2277;Grundlagen des Web;Obendorf, Hartmut;03725940-1eb2-476a-9c1f-1b5277ed69de;;
BEX PPDM;Business Excellence;2288;Business Excellence;Münster, Thomas;fd143ca4-ea44-45a1-8a86-ece0eaef78fa;;
WA PPDM;Werkstoffauswahl;2300;Werkstoffauswahl;Katrakova-Krüger, Danka;ab147b6e-f301-47e0-afd9-680e13c9ba3e;;
IHM MMW;Instandhaltungsmanagement;2302;Instandhaltungsmanagement;Haag, Christoph;bde6b8de-920e-4515-bd35-084f8bed67ff;;
PPS AI;Praxisprojektseminar;2318;Praxisprojekt;Dozent, Jeder;;;alte PO
PPS WI;Praxisprojektseminar;2319;Praxisprojekt;Dozent, Jeder;;;alte PO
SD MI V;Screendesign;2322;Screendesign;Noss, Christian;256c37a7-b06a-4e1d-a163-41917f9e602e;;
